SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 09, 2024	October 08, 2024	October 07, 2024	October 04, 2024	October 03, 2024
Chinese yuan		0.1057610000		0.1060860000	
Euro		0.8186100000	0.8197430000	0.8204760000	0.8209470000
Japanese yen		0.0050420100	0.0050279000	0.0050717600	0.0050583500
U.K. pound		0.9767490000	0.9751150000	0.9795650000	0.9755950000
U.S. dollar		0.7454110000	0.7464420000	0.7439260000	0.7436790000
Algerian dinar			0.0056161300	0.0055969300	0.0055980100
Australian dollar		0.5023320000		0.5094410000	0.5105360000
Botswana pula		0.0562785000	0.0562817000	0.0563152000	0.0563709000
Brazilian real		0.1350600000	0.1366610000	0.1360510000	0.1355990000
Brunei dollar		0.5719410000	0.5724690000	0.5736190000	0.5742250000
Canadian dollar		0.5458090000	0.5484910000	0.5479310000	0.5492460000
Chilean peso		0.0008051010	0.0008080650	0.0008090640	0.0008188220
Czech koruna		0.0323361000	0.0323387000	0.0323699000	0.0323789000
Danish krone		0.1097650000	0.1099260000	0.1100140000	0.1100540000
Indian rupee		0.0088802900	0.0088891900	0.0088598500	0.0088586800
Israeli New Shekel		0.1976170000	0.1971580000		
Korean won		0.0005535920	0.0005598450	0.0005635380	
Kuwaiti dinar		2.4383700000	2.4417500000		
Malaysian ringgit		0.1738570000	0.1747080000	0.1757440000	0.1764360000
Mauritian rupee		0.0160603000	0.0159776000	0.0159625000	0.0159910000
Mexican peso		0.0385162000	0.0385982000	0.0387205000	0.0382005000
New Zealand dollar		0.4578690000	0.4600320000	0.4623130000	0.4645020000
Norwegian krone		0.0700443000	0.0703282000	0.0702195000	0.0700494000
Omani rial		1.9386500000	1.9413300000		1.9341500000
Peruvian sol			0.2000110000	0.1996050000	0.1996990000
Philippine peso		0.0131443000	0.0132517000	0.0132218000	0.0132379000
Polish zloty		0.1896770000	0.1896060000	0.1901750000	0.1909270000
Qatari riyal		0.2047830000	0.2050660000		0.2043070000
Russian ruble		0.0077559800	0.0077701800	0.0078415300	0.0078260400
Saudi Arabian riyal		0.1987760000	0.1990510000		0.1983140000
Singapore dollar		0.5719410000	0.5724690000	0.5736190000	0.5742250000
South African rand		0.0425288000	0.0429118000	0.0425334000	0.0429180000
Swedish krona		0.0721306000	0.0721224000	0.0723683000	0.0722601000
Swiss franc		0.8702990000	0.8705880000	0.8734600000	0.8744020000
Thai baht		0.0222279000	0.0223165000	0.0224962000	0.0225050000
Trinidadian dollar		0.1103940000	0.1106690000	0.1104960000	0.1105270000
U.A.E. dirham		0.2029710000	0.2032520000		0.2024990000
Uruguayan peso		0.0179431000	0.0181347000	0.0180058000	0.0178469000

Currency units per SDR(3)

Currency	October 09, 2024	October 08, 2024	October 07, 2024	October 04, 2024	October 03, 2024
Chinese yuan		9.455280		9.426310	
Euro		1.221580	1.219890	1.218800	1.218110
Japanese yen		198.334000	198.890000	197.170000	197.693000
U.K. pound		1.023800	1.025520	1.020860	1.025020
U.S. dollar		1.341540	1.339690	1.344220	1.344670
Algerian dinar			178.059000	178.669000	178.635000
Australian dollar		1.990720		1.962940	1.958730
Botswana pula		17.768800	17.767800	17.757200	17.739600
Brazilian real		7.404120	7.317380	7.350180	7.374690
Brunei dollar		1.748430	1.746820	1.743320	1.741480
Canadian dollar		1.832140	1.823180	1.825050	1.820680
Chilean peso		1,242.080000	1,237.520000	1,236.000000	1,221.270000
Czech koruna		30.925200	30.922700	30.892900	30.884300
Danish krone		9.110370	9.097030	9.089750	9.086450
Indian rupee		112.609000	112.496000	112.869000	112.884000
Israeli New Shekel		5.060290	5.072070		
Korean won		1,806.380000	1,786.210000	1,774.500000	
Kuwaiti dinar		0.410110	0.409542		
Malaysian ringgit		5.751850	5.723840	5.690090	5.667780
Mauritian rupee		62.265300	62.587600	62.646800	62.535200
Mexican peso		25.963100	25.907900	25.826100	26.177700
New Zealand dollar		2.184030	2.173760	2.163040	2.152840
Norwegian krone		14.276700	14.219000	14.241100	14.275600
Omani rial		0.515823	0.515111		0.517023
Peruvian sol			4.999730	5.009890	5.007540
Philippine peso		76.078600	75.462000	75.632700	75.540700
Polish zloty		5.272120	5.274090	5.258310	5.237600
Qatari riyal		4.883220	4.876480		4.894590
Russian ruble		128.933000	128.697000	127.526000	127.779000
Saudi Arabian riyal		5.030790	5.023840		5.042510
Singapore dollar		1.748430	1.746820	1.743320	1.741480
South African rand		23.513500	23.303600	23.510900	23.300200
Swedish krona		13.863700	13.865300	13.818200	13.838900
Swiss franc		1.149030	1.148650	1.144870	1.143640
Thai baht		44.988500	44.809900	44.452000	44.434600
Trinidadian dollar		9.058460	9.035950	9.050100	9.047560
U.A.E. dirham		4.926810	4.920000		4.938300
Uruguayan peso		55.731700	55.142900	55.537700	56.032100


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
